Niu,CodigoConexion,TipoConexion,NivelTension,NivelTensionPrimario,PorcentajePropiedadActivo,ConexionRed,IdComercializador,IdMercado,GrupoCalidad,CodigoFronteraComercial,CodigoCircuito,CodigoTransformador,CodigoDane,Ubicacion,Direccion,CondicionesEspeciales,TipoAreaEspecial,CodigoAreaEspecial,Estrato,Altitud,Longitud,Latitud,AutoGenerador,ExportaEnergia,CapacidadAutogeneradorKW,TipoGeneracion,CodigoFronteraAutogeneracion,FechaEntradaOperacion,ContratoRespaldo,CapacidadContratoRespaldo
33106,100D2S0000,2,1,2,0,2,62371,164,12,Frt82172,,100D2S0000,63001000,2,CLL 21 CR 16 31 PI 1,9,0,0000,8,1458,-75.674574,4.533554,3,,,,,,,
251814,10068R0000,2,1,2,0,2,62371,164,12,Frt56604,,10068R0000,63001000,2,CRA 14 CL 6 02 LC TL1 21 23,9,0,0000,8,1458,-75.665514,4.540186,3,,,,,,,
243095,1001IF0000,2,1,2,100,2,62371,164,12,Frt56602,,1001IF0000,63001000,2,CLL 21 CR 15 45 LC 2,9,0,0000,8,1458,-75.674377,4.533348,3,,,,,,,
217926,10015J0000,2,1,2,0,2,62371,164,12,Frt63681,,10015J0000,63001000,2,CRA 11 CL 19N 38 N1 LC 26,9,0,0000,8,1458,-75.655623,4.558476,3,,,,,,,
203995,100GX10000,2,1,2,100,2,62371,164,12,Frt56603,,100GX10000,63001000,2,CRA 14 CL 13 18,9,0,0000,8,1458,-75.669644,4.536049,3,,,,,,,
267395,100D3E0000,2,1,2,100,1,62371,164,12,Frt85470,,100D3E0000,63001000,2,CRA 14 CL 18N  69,9,0,0000,8,1458,-75.656152,4.557563,3,,,,,,,
323051,100D460000,2,1,2,100,2,62371,164,12,Frt54643,,100D460000,63001000,2,CRA 15 CL 20A 21 KFC,9,0,0000,8,1458,-75.673806,4.532964,3,,,,,,,
320897,100D240000,2,1,2,0,1,62371,164,12,Frt63886,,100D240000,63001000,2,CRA 14 CL 18N 39 LC 01,9,0,0000,8,1458,-75.656415,4.557028,3,,,,,,,
245478,100CFT0000,2,1,2,0,2,62371,164,12,Frt89236,,100CFT0000,63001000,2,CRA 13 CL 19 09 NIVEL 030 LC 1,0,0,0000,8,1458,-75.671791,4.532489,3,,,,,,,
58244,10017Q0000,2,1,2,100,1,62371,164,12,Frt85419,,10017Q0000,63001000,2,CLL 15N CR 13  02 LC 1,9,0,0000,8,1458,-75.657748,4.553969,3,,,,,,,
279699,100ERP0000,2,1,2,100,2,62371,164,12,Frt63680,,100ERP0000,63001000,2,CRA 14 CL 14N 34 ED BALCONES LC 1,9,0,0000,8,1458,-75.657968,4.553618,3,,,,,,,
29160,1004ZD0000,2,1,2,100,1,62371,164,22,Frt67683,,1004ZD0000,63001000,2,CRA 9 CL 7 23 EL VIAJERO HOSTELS SAS,9,0,0000,8,1458,-75.570184,4.634804,3,,,,,,,
90174,1001SE0000,2,1,2,100,2,62371,164,12,Frt85411,,1001SE0000,63001000,2,CRA 14 CL 2N  00,9,0,0000,8,1458,-75.662438,4.546376,3,,,,,,,
264623,100CA70000,2,1,2,0,1,62371,164,12,Frt50221,,100CA70000,63001000,2,CRA 19 CL 36N 70 LC 16 FRISBY,9,0,0000,8,1458,-75.651226,4.569170,3,,,,,,,
40296,100EGX0000,2,1,2,100,1,62371,164,12,Frt85415,,100EGX0000,63001000,2,CRA 14 CL 9  08,9,0,0000,8,1458,-75.667427,4.538277,3,,,,,,,
182633,10014B0000,2,1,2,0,2,62371,164,12,Frt61137,,10014B0000,63001000,2,CLL 1N CR 12 36 PI 34,9,0,0000,8,1458,-75.661568,4.544788,3,,,,,,,
33574,100EH20000,2,1,2,100,2,62371,164,12,Frt18570,,100EH20000,63001000,2,CRA 16 CL 20 20 ALBERTO Vo5,0,0,0000,7,1458,-75.725134,4.498675,3,,,,,,,
251714,10068Q0000,2,1,2,0,2,62371,164,12,Frt28203,,10068Q0000,63001000,2,CRA 14 6 02 TL1 17 19,9,0,0000,8,1458,-75.725134,4.498675,3,,,,,,,
184038,1000420000,2,1,2,0,1,62371,164,32,Frt52066,,1000420000,63001000,3,FCA LOS ALAMOS VD MURILLO  ARMENIA,9,0,0000,4,1458,-75.757094,4.473352,3,,,,,,,
221085,100D560000,2,1,2,100,1,62371,164,12,Frt57266,,100D560000,63001000,3,VIA EDEN BOD 3 BOD MONTE CARLO  ARMENIA,9,0,0000,8,1458,-75.701482,4.511836,3,,,,,,,
273000,TERN0470,2,2,0,101,1,62371,164,22,Frt71057,,TERN0470,63401000,3,FCA LOTE 1 F BONANZA,9,0,0000,8,1190,-75.784695,4.460495,3,,,,,,,
