Niu,CodigoConexion,TipoConexion,NivelTension,NivelTensionPrimario,PorcentajePropiedadActivo,ConexionRed,IdComercializador,IdMercado,GrupoCalidad,CodigoFronteraComercial,CodigoCircuito,CodigoTransformador,CodigoDane,Ubicacion,Direccion,CondicionesEspeciales,TipoAreaEspecial,CodigoAreaEspecial,Estrato,Altitud,Longitud,Latitud,AutoGenerador,ExportaEnergia,CapacidadAutogeneradorKW,TipoGeneracion,CodigoFronteraAutogeneracion,FechaEntradaOperacion,ContratoRespaldo,CapacidadContratoRespaldo
055410007000120301,800118,2,1,2,100,2,62371,704,12,FRT51748,,800118,05001000,2,CL 50 CR 47 -12 (INTERIOR 301 ),0,0,0,8,1502,-75.5693817,6.2451539,3,,,,,,,
190149100760725000,426210,2,1,2,100,1,62371,704,22,FRT51751,,426210,05148000,2,RURAL_190149100285000000_190149100285000000,0,0,0,2,2174,-75.32879699,6.068392421,3,,,,,,,
051327000100120000,838652,2,1,2,0,1,62371,704,12,FRT50084,,838652,05001000,2,CR 37 CL 10 A -12,0,0,0,8,1493,-75.56615463,6.210147275,3,,,,,,,
051310207000290000,840970,2,2,3,101,1,62371,704,12,FRT50010,,840970,05001000,2,CL 10 B CR 37 -29,0,0,0,8,1493,-75.56653251,6.210486626,3,,,,,,,
040423107001702007,812423,2,1,2,0,2,62371,704,12,FRT65659,,812423,05001000,2,CR 43 A CL 7 SUR -170 (INTERIOR 2007 ),0,0,0,8,1493,-75.57399158,6.19566205,3,,,,,,,
023428002201390384,137269,2,1,2,0,1,62371,704,12,FRT56425,,137269,05266000,2,CR 48 CL 32 B SUR -139 (INTERIOR 384 ),0,0,0,8,1555,-75.59156452,6.17692842,3,,,,,,,
052423005101270000,47630,2,1,2,100,1,62371,704,12,FRT56336,,47630,05001000,2,CR 43 CL 25 A -127,0,0,0,7,1502,-75.56837109,6.225587774,3,,,,,,,
023428002201390221,838859,2,1,2,0,1,62371,704,12,FRT60457,,838859,05266000,2,CR 48 CL 32 B SUR -139 (INTERIOR 221 ),0,0,0,8,1555,-75.5919795,6.17647093,3,,,,,,,
056522005000910250,829924,2,1,2,100,2,62371,704,12,FRT60754,,829924,05001000,2,CR 52 CL 65 -91 (INTERIOR 250 ),0,0,0,8,1465,-75.56721002,6.264103896,3,,,,,,,
053755009000600201,811734,2,1,2,0,1,62371,704,12,FRT54537,,811734,05001000,2,CIRC 75 TRAN 39 -60 (INTERIOR 201 ),0,0,0,8,1555,-75.59623209,6.246170428,3,,,,,,,
054518001100220000,814745,2,2,3,101,2,62371,704,12,FRT18755,,814745,05001000,2,CL 48 CR 51 A -22,0,0,0,8,1465,-75.56978546,6.248559062,3,,,,,,,
953799203000090000,46069,2,1,2,0,1,62371,704,12,FRT02698,,46069,05001000,2,TV 39B N 73 09,0,0,0,8,1555,-75.59392724,6.243393252,3,,,,,,,
023428002201390323,137269,2,1,2,0,1,62371,704,12,FRT50423,,137269,05266000,2,CR 48 CL 32 B SUR -139 (INTERIOR 323 ),0,0,0,8,1555,-75.59156452,6.17692842,3,,,,,,,
917427408300420000,46464,2,2,3,101,2,62371,704,23,FRT08224,,46464,05631000,2,CR 47D CL 78C SUR 42,0,0,0,7,1644,-75.62480949,6.149236444,1,1,100.00,1,AGPE0001,23-01-2026,2,
050212000000500002,839836,2,2,3,101,2,62371,704,12,FRT32505,,839836,05001000,2,CL 2 CR 20 -50 (INTERIOR 2 ),0,0,0,7,1600,-75.5561019,6.197790151,3,,,,,,,
