NIU,CODIGO_DE_CONEXION,TIPO_DE_CONEXION,NIVEL_DE_TENSION,NIVEL_DE_TENSION_PRIMARIO,PORC_PROPIEDAD_DEL_ACTIVO,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_DE_CALIDAD,COD_FRONTERA_COMERCIAL,CODIGO_CIRCUITO_O_LINEA,CODIGO_TRANSFORMADOR,CODIGO_DANE_NIU,UBICACION,DIRECCION,CONDICION_ESPECIAL,TIPO_AREA_ESPECIAL,CODIGO_AREA_ESPECIAL,ESTRATO_ID,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXPORTA_ENERGIA,POTENCIA,TIPO_GENERACION,CODIGO_FRONTERA_AUTO_GEN,INICIO_OPERACION,CONTRATO_RESPALDO,CAPACIDAD_CONTRATO_RESPALDO
0000000000000000000000000000000030067481,100YOK0000,2,1,2,0,2,62371,444,12,Frt76810,,100YOK0000,8001000,2,CL 99 CR 52 - 53 LOC 35,0,0,0,8,93,-74.8279306,11.0140732,3,,,,,,,
0000000000000000000000000000000030089025,101KZV0000,2,1,2,0,2,62371,444,12,Frt82945,,101KZV0000,8758000,2,D 40A CR 19 - 29 LOC B12,0,0,0,8,19,-74.7800248,10.9181394,3,,,,,,,
0000000000000000000000000000000030163232,100YD30000,2,1,2,0,2,62371,444,12,Frt83764,,100YD30000,8001000,2,CR 49C CL 86 - 39 LOC 5-6-7,0,0,0,8,100,-74.8218034,11.0043796,3,,,,,,,
0000000000000000000000000000000030166208,0691,1,2,2,101,2,62371,444,32,Frt82047,0691,,8573000,2,CL 1E CR 5 - 75 ARCO PADRE,0,0,0,8,24,-74.9108796,11.0103411,3,,,,,,,
0000000000000000000000000000000037015375,0743,1,2,2,101,2,62371,444,32,Frt75030,0743,,8573000,2,CR 20 CL 6 - 131,0,0,0,7,24,-74.9108796,11.0103411,3,,,,,,,
12940683,100BAC0000,2,1,2,0,2,62371,444,12,Frt49762,,100BAC0000,8001000,2,CR 53 CL 80 - 198 PISO 16,0,0,0,8,82,-74.8116702,11.0062392,3,,,,,,,
12940692,100BAC0000,2,1,2,0,2,62371,444,12,Frt49793,,100BAC0000,8001000,2,CR 53 CL 80 - 198 PISO 17,0,0,0,8,82,-74.8116702,11.0062392,3,,,,,,,
12940753,100BAC0000,2,1,2,0,2,62371,444,12,Frt49750,,100BAC0000,8001000,2,CR 53 CL 80 - 198 PISO 15,0,0,0,8,82,-74.8116702,11.0062392,3,,,,,,,
12940754,100BAC0000,2,1,2,0,2,62371,444,12,Frt49763,,100BAC0000,8001000,2,CR 53 CL 80 - 198 PISO 18,0,0,0,8,82,-74.8116702,11.0062392,3,,,,,,,
12946716,100FS60000,2,1,2,0,1,62371,444,12,Frt32327,,100FS60000,8001000,2,CR 45B 90 210 LOC QIEN,0,0,0,8,109,-74.8263033,11.0036816,3,,,,,,,
