NIU,CODIGO_CONEXION,TIPO_CONEXION,NIVEL_TENSION,NIVEL_TENSION_PRIMARIA,PORC_PROP_ACTIV,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_CALIDAD,COD_FRONTERA_COMERCIAL,COD_CIRCUITO_LINEA,COD_TRANSFORMADOR,COD_DANE,UBICACION,DIRECCION,COND_ESPEC,TIPO_AREA_ESPEC,COD_AREA_ESPEC,ESTRATO,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXP_ENERGIA,CAPAC_AUTOGEN,TIP_GENERACION,COD_FRONTERA_EXPORT,F_ENTRADA_GENERAR,CONTR_RESPALDO,CAPAC_CONTR_RES
2610000,65023081,2,1,2,100,1,637,166,11,OR0001,10000210,65023081,76834000,2,TR 12 22BIS 15,0,0,0,2,969,-76.201571,4.096318,3,,,,,,,
2610003,65023139,2,1,2,100,1,637,166,11,OR0001,10000660,65023139,76834000,2,CR 22 9 17 ,0,0,0,2,965,-76.202566,4.097404,3,,,,,,,
2610005,65729782,2,1,2,100,1,637,166,11,OR0001,10000660,65729782,76834000,2,CR 22 7 2 ,0,0,0,2,962,-76.203183,4.099521,3,,,,,,,
2610006,65023139,2,1,2,100,1,637,166,11,OR0001,10000660,65023139,76834000,2,CR 22 8A 6 ,0,0,0,2,965,-76.202566,4.097404,3,,,,,,,
2610008,65023139,2,1,2,100,1,637,166,11,OR0001,10000660,65023139,76834000,2,CR 22 10 41,0,0,0,2,965,-76.202566,4.097404,3,,,,,,,
2610012,65023082,2,1,2,100,1,637,166,11,OR0001,10000211,65023082,76834000,2,CR 21 12 64 ,0,0,0,2,970,-76.202030,4.096153,3,,,,,,,
2610013,65023083,2,1,2,100,1,637,166,11,OR0001,10000210,65023083,76834000,2,CR 22 12 98 ,0,0,0,2,968,-76.201129,4.09588,3,,,,,,,
2610015,65022657,2,1,2,100,1,637,166,11,OR0001,10000210,65022657,76834000,2,CR 20 16A 31 ,0,0,0,2,971,-76.201179,4.091346,3,,,,,,,
2610016,65023092,2,1,2,100,1,637,166,11,OR0001,10000210,65023092,76834000,2,CL 19 21 5 ,0,0,0,2,973,-76.199227,4.090828,3,,,,,,,
2610017,65023092,2,1,2,100,1,637,166,11,OR0001,10000210,65023092,76834000,2,CR 22 17 88 ,0,0,0,2,973,-76.199227,4.090828,3,,,,,,,
2610018,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22 17 58 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2610020,65023091,2,1,2,100,1,637,166,11,OR0001,10000210,65023091,76834000,2,K 22 C 15 44,0,0,0,2,972,-76.199664,4.092257,3,,,,,,,
2610021,65023176,2,1,2,100,1,637,166,11,OR0001,10000214,65023176,76834000,2,CR 27 18 57,0,0,0,2,971,-76.195363,4.092378,3,,,,,,,
2610035,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 39 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2610036,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 72 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2610037,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 69 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2610040,65023185,2,1,2,100,1,637,166,11,OR0001,10000210,65023185,76834000,2,CR 22A 15 25 ,0,0,0,3,968,-76.199312,4.093088,3,,,,,,,
2610041,65037350,2,1,2,100,1,637,166,11,OR0001,10000210,65037350,76834000,2,CR 22B 14 79 ,0,0,0,2,966,-76.199355,4.093728,3,,,,,,,
2610046,65023128,2,1,2,100,1,637,166,11,OR0001,10000214,65023128,76834000,2,CL 13 24A 4 ,0,0,0,3,967,-76.198240,4.096098,3,,,,,,,
2610047,65023180,2,1,2,100,1,637,166,11,OR0001,10000214,65023180,76834000,2,CL 15 25 31 ,0,0,0,2,970,-76.197767,4.09441,3,,,,,,,
2610051,65023103,2,1,2,100,1,637,166,11,OR0001,10000210,65023103,76834000,2,CL 6A 22D 36 ,0,0,0,2,964,-76.200129,4.099392,3,,,,,,,
2610054,65023107,2,1,2,100,1,637,166,11,OR0001,10000210,65023107,76834000,2,CL 4 22B 4,0,0,0,2,960,-76.200332,4.101828,3,,,,,,,
2610055,65023116,2,1,2,100,1,637,166,11,OR0001,10000210,65023116,76834000,2,CL 2C 23 32,0,0,0,2,958,-76.200637,4.103904,3,,,,,,,
